Location,Coordinates
"Konstanz, Switzerland","(47.096913, 8.2712723)"
"Rio de Janerio, Brazil","(-30.0904795, -51.0835865)"
"Off Copenhagen, Denmark","(55.6867243, 12.5700724)"
"Lahore, India","(31.7621021, 74.8295989)"
North Sea,"(56.0026997, 2.8144673)"
"Calarmar, Colombia",
"Gosport, England","(50.7952074, -1.1210853)"
South of Gibraltar,"(39.1554938, 23.2118116)"
Off Malta-Luqa,
"Mogador, Morocco","(31.5118281, -9.7620903)"
"Denpasar, Indonesia","(-8.6524973, 115.2191175)"
"Near Cosenza, Italy","(39.5966853, 16.3330556)"
"Near Bucaramanga, Columbia","(7.1669842, -73.1047294)"
Gulf of Oman,"(24.2138029, 58.9845823)"
"Stromboli Island, Italy","(38.7917963, 15.2111752)"
"Near Loch Lomond, Scotland","(56.1561963, -4.6562105)"
"El Segundo, California","(33.917028, -118.4156337)"
"Off Prangli Island, Gulf of Finland, Estonia","(59.8737114, 26.3230491)"
"Near Ouistreham, France","(49.2761243, -0.258479)"
Gulf of Tonkin,"(19.5000383, 107.364437)"
"Near Canberra, Australia","(-27.4377953, 152.9834191)"
"Gospic,,Coatia",
"Cluj, Romania","(46.769379, 23.5899542)"
"Near Lovettsville, Virginia","(39.2747722, -77.6393091)"
"Osijek, Croatia","(45.5548793, 18.6953685)"
"Near Changyi, China","(36.8394346, 119.4013261)"
"Berlin, Germany","(52.510885, 13.3989367)"
"Near Rincon, Bolivia","(-29.1767247, -67.4926173)"
"Near Centerville, Utah","(40.9180005, -111.8721601)"
"Brandenburg, Germany","(52.8455492, 13.2461296)"
"Capri Island, Italy","(40.5488429, 14.2283708)"
"Off  Fernando de Noronha, Brazil","(-3.8537498, -32.4198018)"
"Near Nagyvarad, Hungary","(47.4793973, 19.0913814)"
"Near Kian, China","(26.193218, 118.2208721)"
"Near Robertson, Missouri","(38.7642176, -90.3820603)"
"Armstrong, ON, Canada","(50.302131, -89.0373698)"
"Atlanta, Georgia","(33.7489924, -84.3902644)"
"Trontheim, Norway",
"Elands Bay, South Africa","(-32.3177902, 18.3176636)"
Sea of Japan,"(43.0600172, 137.3353041)"
"Rome, Italy","(41.8933203, 12.4829321)"
"Arran, Scotland","(55.577451, -5.2521609)"
"Ayr, Scotland","(55.4628044, -4.6302502)"
"Near Sao Paulo, Brazil","(-23.5506507, -46.6333824)"
"Coen, Australila",
"Campbeltown, Argyll, Scotland","(55.4241858, -5.6051005)"
"Bollemont, France",
"San Juan, Puerto Rico","(18.384239, -66.05344)"
"Near Petrich, bulgaria","(41.3973752, 23.2092735)"
"Near Moorhead, Minnesota","(46.8739081, -96.7538674)"
"St. Thomas, Ontario, Canada","(42.779022, -81.1929882)"
"Chardzhou, Turkmenistan",
"Miami, Florida","(25.7741728, -80.19362)"
"Baiserke, Kazakhstan","(43.4475868, 77.0565108)"
"Sabang, Indonesia","(5.8927453, 95.3225751)"
"Near Las Vegas, Nevada","(36.0982678, -115.1641174)"
"Kupang, Indonesia","(-10.1632209, 123.6017755)"
"Kupang, Timor","(-10.1363085, 123.6823292)"
"Near Kupang, Timor","(-10.1363085, 123.6823292)"
"English Channel, near Plymouth, England","(53.4597198, -2.2056317)"
"Zhengzhou-Xinzheng, China","(34.5283779, 113.8491214)"
"Off Belmont, Brisbane, Australia","(-27.5147784, 153.1268563)"
Indian Ocean,"(-9.9999999, 69.9999999)"
"Wyndham, Australia","(-15.4867977, 128.1236196)"
"Off Broome, Australia","(-17.9566909, 122.2240181)"
"Kunming, China","(25.0363006, 102.7086139)"
"Pine Creek, Australia","(-13.8240162, 131.835484)"
"Near Rome, Italy","(41.8933203, 12.4829321)"
"Near Premier, West Virginia","(37.4223352, -81.6437197)"
"Off Broken Head, Australia","(-28.715, 153.5844444)"
"Llanfair, England","(50.828514, -4.5197235)"
Trinidad,"(10.4430243, -61.2613054)"
"Near Dunbeath, Scotland","(58.248257, -3.4275945)"
Off West Africa,"(47.3138746, 5.0488196)"
"Ameur el Ain, Algeria","(36.5939375, 3.91993)"
"Near Coamo, Puerto Rico","(18.0960713, -66.3535752)"
"Botwood, Newfoundland","(49.14219, -55.343628)"
"Yanaul, Russia","(56.2714237, 54.9294823)"
"Budapest, Romania","(47.5073164, 19.0930482)"
"Palm Springs, California","(33.8246269, -116.540303)"
"La Esperanza, Colombia","(7.69574, -73.3547071)"
Norway,"(64.5731537, 11.5280364)"
"Near Kranoyarsk, Russia",
"Near Tashkent, Russia","(56.8482892, 60.6098184)"
"Fairfield, Utah","(40.2621714, -112.092996)"
"Near Vienna, Austria","(48.2083537, 16.3725042)"
"Near Chilliwack, British Columbia, Canada","(49.1709788, -121.95255)"
"Near Cabo Ruivo, Marine Base, Lisbon, Portugal","(38.7077507, -9.1365919)"
"Near Paramarino, Dutch Guyana","(6.7797884, -58.5111658)"
"Off the Brazilian coast,  Atlantic Ocean","(13.581921, -38.320312)"
"Ukiah, California","(39.1501662, -123.2077861)"
"Near Chaparra, Peru","(-15.7388369, -73.8618503)"
"Near Gander, Newfoundland","(48.9592291, -54.6187879)"
"Seattle, Washington","(47.6038321, -122.330062)"
"Lisbon, Portugal","(38.7077507, -9.1365919)"
"Luishui, China",
"Himalaya, China","(22.2761593, 114.1715787)"
"Archerfield Aerodrome, Queensland, Australia","(-27.569486, 153.0087254)"
"Off Port Moresby, New Guinea","(-9.4099744, 147.1734397)"
Off the coast of France,"(48.6953659, 6.1769768)"
"Red Springs, North Carolina","(34.815158, -79.1837649)"
"Noumea,  New Caledonia","(-22.2745264, 166.442419)"
"Near Mackay, OLD, Australia","(-41.3641702, 146.3516987)"
"Khartoum, Sudan","(15.5635972, 32.5349123)"
Gibraltar,"(36.1285933, -5.3474761)"
"Naknek AFB, Alaska","(64.6644444, -147.099444)"
"Brandon Head, Ireland","(52.2757233, -10.2429647)"
"Trammel, Kentucky","(36.7853194, -86.3533242)"
"Ploesti, Romania","(44.95368, 26.0271744)"
"Off Townsville, Australia","(-19.2724552, 146.7609782)"
"Fort Hertz, China","(38.8980377, -77.0217062)"
"Rhodes, Greece","(36.1725297, 27.9194016)"
"Off Galveston, Texas","(29.3872254, -94.992736)"
"Near Maxton, North Carolina","(34.7351615, -79.3489317)"
"Near Calcutta, India","(22.5795389, 88.3907166)"
"Near Centerville, Tennessee","(35.7789565, -87.4669587)"
"St. Donat, Quebec, Canada","(46.318718, -74.221916)"
"Columbus, Georgia","(32.4610708, -84.9880449)"
"Hallo, Sweden","(57.057277, 14.9145772)"
Eastern Libya,"(-2.6925299, 38.1651715)"
"Poona, India","(18.5213738, 73.8545071)"
"Port Moresby, New Guinea","(-9.4099744, 147.1734397)"
"Off Montrose, Scotland","(56.7114295, -2.4681544)"
"Suifu, China","(28.58689, 104.718661)"
"Canal Creek, Australia","(-22.947057, 150.4260131)"
"Lakeside, Utah","(41.2224303, -112.8655343)"
"Belgrad, Yugoslavia","(44.7880163, 20.4522489)"
"Memphis, Tennessee","(35.1460249, -90.0517638)"
"Near Quelimane, Mozambique","(-17.87751, 36.890216)"
China,"(35.0000663, 104.999955)"
"Eubeoa, Greece",
New Guinea,"(-5.5226203, 142.0871194)"
"Near Nome, Alaska","(64.4975098, -165.4061701)"
"Frederikstad, Norway",
"Montreal, Canada","(45.5031824, -73.5698065)"
"Between Calcutta to Dinjan, China",
"Off Calcutta, India","(22.5726459, 88.3638953)"
"Barneville, France","(49.3891667, 0.1886111)"
"Flamanville, France","(49.6348243, 0.839636)"
"Carentan, France","(49.2947659, -1.2523119)"
"Kweilin, China","(22.3303784, 114.1612627)"
"Porto Alegre, Brazil","(-30.0324999, -51.2303767)"
"Portland, Maine","(43.6573605, -70.2586618)"
"Nineteen miles W of Kokoda, Papua New Guinea","(-8.8783894, 147.7365453)"
"Port Logan, Scotland","(54.7234041, -4.9546277)"
"Funafuti, Gilbert Islands, Pacific Ocean","(9.5803629, 138.2062021)"
"Naper, Nebraska","(42.9636101, -99.0967626)"
"Off Antilla, Cuba","(20.827544, -75.7400107)"
"Blythburgh, England","(52.3209345, 1.5979437)"
"Freckelton, England",
"Preswick, Scotland","(55.503242, -4.6202504)"
"Near Lidköping, Västergötland, Swden","(58.5037196, 13.1576427)"
"Near Mossman, Queensland, Australia","(-16.4614455, 145.3726649)"
"Copeland, Kansas","(37.5419685, -100.6296)"
Alaska,"(64.4459613, -149.680909)"
"Rio Doce, Brazil","(-20.2447972, -42.8970432)"
"Near Dijon, France","(47.3215806, 5.0414701)"
"Near Sadiya, India","(27.8338439, 95.6751942)"
Bosnia,"(44.3053476, 17.5961467)"
"Sydney, Australia","(-33.8698439, 151.2082848)"
"Telemark, Norway","(59.3962676, 8.66266)"
"Komarom,, Hungary","(47.7417349, 18.1218256)"
"Birkenhead, England","(53.3895177, -3.0248007)"
"Hanford, California","(36.3277959, -119.6461565)"
"Jacksonville, Florida","(30.3321838, -81.655651)"
"Seljord, Norway","(59.5734454, 8.5122534)"
"Near Kumming, Yunan, China","(39.5037442, 20.2632145)"
"Lewes, England","(50.8746139, 0.0051153)"
"Nairobi, Kenya","(-1.3026148, 36.828842)"
"Tegucigalpa, Nicaragua","(14.0450807, -87.2305554)"
"Off Falsterbo, Sweden","(55.39609, 12.8371665)"
"Dinjan, China",
"Van Nuys, California","(34.1866193, -118.4486675)"
"Orlivka, Ukraine","(51.0595519, 26.7194473)"
"Near Dinjan, India",
"Near Kunming, China","(25.0363006, 102.7086139)"
"Timor, Indonesia","(-9.3460171, 124.6370774)"
"Redesdale, Australia","(-37.020796, 144.5315217)"
"Near Montieri, Italy","(43.1306766, 11.0162788)"
"Nunters Burgh, England","(52.1166641, 1.2584744)"
"Off Oakland, California","(37.8044557, -122.271356)"
"Lagoa Santa, Brazil","(-19.6357376, -43.8966132)"
"Snezka mountains, Poland","(49.7067322, 19.0115053)"
"Marion, Virginia","(36.8331284, -81.519515)"
"Casablanca, Morocco","(33.5945144, -7.6200284)"
"Coral Sea, off Australia","(-38.4154126, 145.5552263)"
"Near Perth, Australia","(-27.4874166, 153.0780078)"
"Near Steinreich, Germany","(51.951064, 13.4963013)"
"Sweetwater, Texas","(32.4709519, -100.405938)"
"Near Piesenkofen, Germany","(48.963057, 12.1497078)"
"North Barrule, Isle of Man, England","(54.447864, -1.3177289)"
Washington D.C.,"(38.8950368, -77.0365427)"
"Manus Island, New Guinea","(17.3412983, -62.8364311)"
"Hindhead, England","(51.1132995, -0.7332662)"
"Roye, France","(49.6986186, 2.7930755)"
"Iran Jayas, New Guinea","(-5.5226203, 142.0871194)"
"Off Drewin, Ivory Coast","(4.914172, -6.149344)"
"Gealdton, Australia",
"Swanage, England","(50.6086976, -1.9571971)"
"Bangalore, India","(12.9881567, 77.6226)"
Texas,"(31.2638905, -98.5456116)"
"Near Kisumu, Kenya","(-0.2283721, 35.1563041)"
"Near Florence, South Carolina","(34.1984435, -79.7671658)"
"Near San Luis Potosi, Mexico","(22.5000001, -100.4949145)"
"Fort de France, Martinique","(14.6027962, -61.0676724)"
"Ixtaccihuati, Mexico",
"Florence, South Carolina","(34.1984435, -79.7671658)"
"Near Milne Bay, New Guinea","(-10.2995589, 150.4506641)"
"Near Kansas, Missouri","(39.100105, -94.5781416)"
"Puncak Jaya, Papua New Guinea","(-4.0786047, 137.1586126)"
"Near Chihkiang, China",
"Lakeland, Florida","(28.0394654, -81.9498042)"
"Elvetham, England","(51.2932577, -0.8507922)"
"Rennes, France","(48.1113387, -1.6800198)"
"Melsbroek, Belgium","(50.9170725, 4.4758811)"
"Near Peking, China","(40.190632, 116.412144)"
"Between Shanghi and Canton, China","(23.1301964, 113.2592945)"
"Timor Sea, Atlantic Ocean","(36.163799, -75.7533294)"
"Near Chiringa, India","(34.0745293, -84.2941531)"
"Tarapoto, Peru","(-6.4758642, -76.38964)"
"Valetta, Malta","(35.8989979, 14.5136607)"
"Chihchiang, China",
"Herrenalb, Germany","(48.7822431, 8.4471679)"
"Near Chuka, India","(22.6090836, 86.0195589)"
"Near Grants, New Mexico","(35.14726, -107.851446)"
"Off Corpus Christi, Texas","(27.7635302, -97.4033191)"
"Near Boccadi, Italy",
"Near Picinisco, Italy","(41.6462629, 13.8677827)"
Himalayas,"(27.985688, 86.9163367)"
"Near Castel, Libya","(32.3963246, 15.0524913)"
"Near Tacloban, Philippines","(11.2436208, 125.0079543)"
Near Jacquinot Bay  New Guinea,"(-10.2995589, 150.4506641)"
"White's Farm, England","(53.4622595, -2.551901)"
"Near Rochefort , France","(45.9366592, -0.9616399)"
Off the Florida coast,"(27.773411, -82.6394917)"
"Off Smyrna, Bahamas","(38.23166, 27.02997)"
"Near Billings, Montana","(45.7960042, -108.5169839)"
"Voksenkollen, Norway","(59.9800631, 10.6652973)"
"Bangui, French Equatorial Africa",
"Near Dudinka, Russia","(69.406067, 86.175072)"
"New York City, New York","(40.7127281, -74.0060152)"
"Birmingham, Alabama","(33.5206824, -86.8024326)"
"Changchun, China","(43.8844201, 125.3180998)"
"Near Netrubezh, Russia",
"Marseilles, France","(47.0706778, 3.0029271)"
"Cheshire, Connecticut","(41.4989861, -72.900658)"
"Crowsnest Pass, Alberta, Canada","(49.6189587, -114.4944274)"
"Near Le Mans, France","(48.0073849, 0.1967849)"
"Mt. Elk, Wyoming","(44.3261432, -106.9135744)"
"Negros, Philippines","(10.0206654, 122.9771598)"
"Charlottetown, PE, Canada","(46.234953, -63.132935)"
"Live Oak Springs, California","(32.6906137, -116.334462)"
"Near Prague, Czechoslovakia","(50.0874654, 14.4212535)"
"Off Hobart, Tasmania","(-42.8825088, 147.3281233)"
"Near Nanking, China","(32.0438284, 118.7788631)"
"Between Chungking and Shanghai, China","(31.3068661, 121.4943346)"
"Hobart Mills, California","(39.3984102, -120.1878187)"
"Off Ceylon, Cocos Islands, Indian Ocean","(-21.4909533, 39.6881037)"
"near Craigavad, Northern Ireland","(54.6598491, -5.7886157)"
"Rabat, Malta","(35.8818906, 14.3988213)"
"Near Shensi, China","(35.5895959, 109.3013107)"
"La Liberiad, Nicaragua",
"Pindi-Khut ,India",
"Munson, Florida","(30.8576858, -86.8730163)"
"Richmond, Virginia","(37.5385087, -77.43428)"
"Oslo, Norway","(59.9133301, 10.7389701)"
"Off Amalfi, Italy","(40.63367, 14.6026095)"
"Taboga Island, Panama","(8.7895216, -79.56074)"
"Near Abeokuta, Nigeria","(7.161, 3.348)"
Off Malaya,
"Pau, France","(43.2957547, -0.3685668)"
"Holyoke, Massachusetts","(42.2071184, -72.6075851)"
"Reading, Pennsylvania","(40.335345, -75.9279495)"
"Tsinan, China","(36.6519754, 117.1138479)"
"Cuenca, Ecuador","(-2.8982666, -79.0237706)"
"Goodland, Kansas","(39.350833, -101.710172)"
Off the Panama coast,"(30.1698381, -85.755833)"
"Bassein, Burma","(16.783333, 94.733333)"
"Near Huatesco, Veracruz, Mexico","(19.333333, -96.666667)"
"Malta-Luqa, Malta","(35.8756614, 14.4835876)"
"Rouen, France","(49.4404591, 1.0939658)"
"Moline, Illinois","(41.5058344, -90.5136642)"
"Near Prince Rupert, British Columbia, Canada","(54.3126572, -130.32549)"
"Holtug, Denmark","(55.3410225, 12.4062467)"
"Le Bourget, France","(48.9351403, 2.4258354)"
"Nome, Alaska","(64.4975098, -165.4061701)"
"Estevan, Saskatchewan, Canada","(49.1428076, -102.991075)"
"Brussels, Belgium","(50.8465573, 4.351697)"
"Near Tripoli, Libya","(32.896672, 13.1777923)"
"Lochi Mountain, China","(48.6843951, -97.8652374)"
Near Hong Kong International Airport,"(22.3125986, 113.9172999)"
"Near Milngavie, Stirlingshire, Scotland","(56.0701208, -3.9087351)"
"Stephenville, Newfoundland","(48.5452022, -58.5871146)"
"Off Penang, Malaya","(5.4136363, 100.3350219)"
"Apeldoorn, The Netherlands","(52.1795738, 5.9300775)"
"Near Sefrou, Morocco","(33.824898, -4.833336)"
"Laramie, Wyoming","(41.3116442, -105.5917876)"
"Near Chitral, India","(28.6013203, 77.1212391)"
"Gebel Kalamoun, Egypt","(34.3879308, 35.7881306)"
"St Leger-la-Montagne, France","(46.0292761, 1.4188089)"
"Near Cofre de Perote, Mexico","(19.4941853, -97.1478249)"
North Pacific Ocean,"(30.0, -170.0)"
"San Jose, Costa Rica","(9.9325427, -84.0795782)"
"El Palomar, Argentina","(-34.6225227, -58.595568)"
"Meshed, Iran","(36.2974945, 59.6059232)"
"Near Osaka, Japan","(34.6937569, 135.5014539)"
"Toledo, Washington","(46.4401007, -122.8467555)"
"Mt. Banahaur, Philippines",
"Caribbean, Atlantic Ocean","(11.9964652, -83.6841429)"
"Near Rio de Janeiro, Brazil","(-22.9110137, -43.2093727)"
"Near San Diego, California","(32.7598833, -117.1672282)"
"Near Wusong, Jiangsu, China","(31.2698697, 121.0606938)"
"Near Shanghai, China","(31.2312707, 121.4700152)"
"Walshville, Illinois","(39.0708801, -89.6189784)"
"Near Shannon, Ireland","(53.1349614, -8.1611027)"
"Michigan City, Indiana","(41.7075394, -86.8950297)"
"Tsingtao, China","(36.0663249, 120.3777659)"
"Carmel, New Jersey","(39.4342818, -75.1212927)"
"Near Lympne, England","(51.0757824, 1.0272519)"
"Off Laoag, China","(18.1973235, 120.5935433)"
"Near Galax, Virginia","(36.6612387, -80.9239671)"
"Near Puebla, Mexico","(18.833333, -98.0)"
"Puesto Araujo, Colombia","(6.5206641, -74.1007112)"
"Croydon, Surrey, England","(51.2973191, -0.0708474)"
"Chongqing, China","(30.05518, 107.8748712)"
Hong Kong,"(22.350627, 114.1849161)"
"Copenhagen, Denmark","(55.6867243, 12.5700724)"
"Near Hankow, China","(22.2977297, 114.1708442)"
"Near Lisbon, Portugal","(38.6442405, -9.2375785)"
"Harrington, Delaware","(38.9237244, -75.5777033)"
"Pedro Bernardo, Spain","(40.2439312, -4.9108472)"
"Denver, Colorado","(39.7392364, -104.984862)"
"Near Bogota, Colombia","(4.6533816, -74.0836333)"
"Off Terracina, Italy","(41.2871196, 13.2492009)"
"Chungking, China","(30.05518, 107.8748712)"
"China Sea, Pacific Ocean","(35.3184827, -120.8315089)"
"Near Georgia, USSR","(41.9551982, 43.5045324)"
"L'isola di Ischia, Italy","(42.5446546, 11.754014)"
"Cordillera, Colombia","(6.8308862, -75.9211591)"
"Mt. Moucherolles, France","(45.0368398, 5.5298478)"
"Near Medellin, Colombia","(6.2697324, -75.6025597)"
"Negombo, Sri Lanka","(7.2094282, 79.833117)"
"Near Caracas, Venezuela","(10.5060934, -66.9146008)"
"Off Dakar, Senegal","(14.693425, -17.447938)"
"Near Vancouver, British Columbia, Canada","(49.2608724, -123.113952)"
"Near Nicoya, Guanacaste, Costa Rica","(10.103348, -85.4152942)"
"Delaware Bay, New Jersey","(39.1138065, -75.148688)"
"Near Khabarovsk, Russia","(51.6312684, 136.121524)"
"La Guardia Airport, Queens, New York","(40.7757145, -73.873364)"
"Atsugi, Japan","(35.4429646, 139.3625125)"
"Hjedinsfjordur, Iceland",
"Port Deposit, Maryland","(39.6029087, -76.1132172)"
"Near Gemenos, France","(43.2961722, 5.6295178)"
"Near Natal, Brazil","(-5.805398, -35.2080905)"
"Leesburg, Virginia","(39.1154506, -77.5645607)"
"Al Mayadin, Syria","(35.0190567, 40.4509227)"
"Black Sea, Gulf of Karkinitsky",
"Near Eaeka, French Cameroons",
"Melbourne, Florida","(28.0785034, -80.6077908)"
"Vichy ,France","(46.1239268, 3.4203712)"
"Az-Zubair, Iran",
"Moron, Argentina","(-34.6510527, -58.6217416)"
"Near Yumen, China","(40.2355108, 97.4322482)"
"Andes, Argentina","(-33.0029724, -60.6266342)"
"Hanksville, Utah","(38.3737755, -110.706401)"
"Bahrain, Persian Gulf","(27.2381259, 51.1972311)"
"Harsiad, Norway",
"Near El Paso, Texas","(31.7601164, -106.4870404)"
"Ocean, 800 miles east of Newfoundland","(47.5980326, -52.6973427)"
"Off Cartegena, Spain","(33.5620124, -117.7227088)"
"Sylva, North Carolina","(35.3737293, -83.2259222)"
"Bryce Canyon, Utah","(37.6184069, -112.1421787)"
"Near Mt. Hymettus, Greece","(37.9939538, 23.8253364)"
"Annette Island, Alaska","(55.1407297, -131.4459806)"
"Near Srinagar, India","(17.4308888, 78.4281653)"
"Off Barrio Rizal, Philippines","(6.4573639, 124.7325107)"
"Gallup, New Mexico","(35.5283506, -108.743907)"
"Near Bouchox, France",
"Newcastle, Delaware","(43.850381, -104.1932199)"
"Ravello, Italy","(40.6496643, 14.6122753)"
"Phouznicie, Romania",
"Yakutat, Alaska","(59.6391781, -139.3429439)"
"Montenegrin Mountains, Yugoslavia","(11.4432962, 122.524724)"
"Near Trappa, Italy","(44.1853611, 7.9943977)"
"Near Goose Bay, Labrador","(53.333333, -60.416667)"
"Near Memphis, Tennessee","(35.1460249, -90.0517638)"
"Krasnoyarsk, Russia","(56.0091173, 92.872586)"
"Korangi Creek, India","(27.4159736, 88.5844757)"
"Leon, Mexico","(21.121965, -101.6829766)"
"Ruislip, England","(51.5775626, -0.4278453)"
"Near Savannah, Georgia","(32.0790074, -81.0921335)"
"Near Palestro, Algeria","(36.5644827, 3.5967523)"
"Ciudad Havajillo, Dominican Republic","(19.0974031, -70.3028026)"
"Oxon Hill, Maryland","(38.7848249, -76.9694016)"
"Near Mukden, China","(41.8026095, 123.4279105)"
"Diablo Mts., California","(-26.5279817, 31.3081785)"
"Atlantic Ocean, NE of Bermuda","(32.7352822, -117.251115)"
"Off Jacksonville, Florida","(30.3321838, -81.655651)"
"Near Padalarang, Indonesia","(-6.8422655, 107.4969093)"
"Ubrichstein, Germany",
"Collesalvetti,  Italy","(43.588912, 10.476264)"
"Off St. Marcouf, France","(49.2525502, -0.9915246)"
"Davao, Philippines","(7.0648306, 125.6080623)"
"Near Belem, Brazil","(-1.45056, -48.4682453)"
"Off Perpignan, France","(42.6985304, 2.8953121)"
"Heathrow Airport, London, England","(51.4677389, -0.4587801)"
"Near Skalafell, Iceland","(63.8132991, -22.683885)"
"Mt. Sanford, Alaska","(62.213889, -144.128889)"
"Sierra Cristais, Brazil","(-20.875834, -45.518611)"
"Villa Pinzon, Colombia","(4.4466742, -75.2159368)"
"Monte Cardo, Corsica, France","(42.2302979, 9.1202731)"
"Kano, Nigeria","(11.9939978, 8.5219738)"
"Shannon, Ireland","(53.1349614, -8.1611027)"
Territory of New Guinea,"(-35.3034277, 149.1239425)"
Near Irkutsk Russia,"(52.2891225, 104.279829)"
"Mount Coron, France","(47.1271575, -0.6457435)"
"Near Magazini, Belgian Congo (Zaire)","(-0.6494883, 17.6652217)"
